,airline_iata,airline_icao,flight_iata,flight_icao,flight_number,dep_iata,dep_icao,dep_terminal,dep_gate,dep_time,dep_time_utc,dep_estimated,dep_estimated_utc,dep_actual,dep_actual_utc,arr_iata,arr_icao,arr_terminal,arr_gate,arr_baggage,arr_time,arr_time_utc,arr_estimated,arr_estimated_utc,cs_airline_iata,cs_flight_number,cs_flight_iata,status,duration,delayed,dep_delayed,arr_delayed,aircraft_icao,arr_time_ts,dep_time_ts,arr_estimated_ts,dep_estimated_ts,dep_actual_ts,arr_actual,arr_actual_utc,arr_actual_ts
23,G3,GLO,G36805,GLO6805,6805,GRU,SBGR,3,,2023-10-04 20:45,2023-10-04 23:45,2023-10-04 22:23,2023-10-05 01:23,2023-10-04 22:23,2023-10-05 01:23,YYZ,CYYZ,1,,,2023-10-05 06:00,2023-10-05 10:00,2023-10-05 07:05,2023-10-05 11:05,AC,91,AC91,active,615.0,65,98.0,65.0,,1696500000.0,1696463100,1696503900.0,1696468980.0,1696468980.0,,,
24,AA,AAL,AA4990,AAL4990,4990,SBP,KSBP,,6,2023-10-04 16:24,2023-10-04 23:24,2023-10-04 18:23,2023-10-05 01:23,2023-10-04 18:23,2023-10-05 01:23,PHX,KPHX,4,B16,1,2023-10-04 18:09,2023-10-05 01:09,2023-10-04 20:07,2023-10-05 03:07,OO,4990,OO4990,landed,105.0,118,119.0,118.0,,1696468140.0,1696461840,1696475220.0,1696468980.0,1696468980.0,2023-10-04 20:07,2023-10-05 03:07,1696475220.0
25,AD,AZU,AD4285,AZU4285,4285,CGR,SBCG,,2,2023-10-04 19:55,2023-10-04 23:55,2023-10-04 21:23,2023-10-05 01:23,,,VCP,SBKP,,,,2023-10-04 22:25,2023-10-05 01:25,2023-10-04 23:54,2023-10-05 02:54,,,,cancelled,90.0,89,88.0,89.0,A20N,1696469100.0,1696463700,1696474440.0,1696468980.0,,,,
26,NH,ANA,NH7106,ANA7106,7106,IAH,KIAH,E,1,2023-10-04 20:03,2023-10-05 01:03,2023-10-04 20:23,2023-10-05 01:23,2023-10-04 20:23,2023-10-05 01:23,GDL,MMGL,1,,,2023-10-04 21:21,2023-10-05 03:21,2023-10-04 21:57,2023-10-05 03:57,UA,332,UA332,active,138.0,36,20.0,36.0,,1696476060.0,1696467780,1696478220.0,1696468980.0,1696468980.0,,,
27,AC,ACA,AC9003,ACA9003,9003,CAI,HECA,3,F03,2023-10-05 03:25,2023-10-05 00:25,2023-10-05 04:23,2023-10-05 01:23,2023-10-05 04:23,2023-10-05 01:23,MUC,EDDM,2,M3,,2023-10-05 06:20,2023-10-05 04:20,2023-10-05 07:15,2023-10-05 05:15,LH,587,LH587,active,235.0,55,58.0,55.0,,1696479600.0,1696465500,1696482900.0,1696468980.0,1696468980.0,,,
28,AC,ACA,AC5413,ACA5413,5413,IAH,KIAH,E,1,2023-10-04 20:03,2023-10-05 01:03,2023-10-04 20:23,2023-10-05 01:23,2023-10-04 20:23,2023-10-05 01:23,GDL,MMGL,1,,,2023-10-04 21:21,2023-10-05 03:21,2023-10-04 21:57,2023-10-05 03:57,UA,332,UA332,active,138.0,36,20.0,36.0,,1696476060.0,1696467780,1696478220.0,1696468980.0,1696468980.0,,,
29,QF,QFA,QF1436,QFA1436,1436,CBR,YSCB,,13,2023-10-05 11:25,2023-10-05 00:25,2023-10-05 12:23,2023-10-05 01:23,2023-10-05 12:23,2023-10-05 01:23,SYD,YSSY,3,16,QFR,2023-10-05 12:20,2023-10-05 01:20,2023-10-05 13:14,2023-10-05 02:14,,1436,,landed,55.0,54,58.0,54.0,,1696468800.0,1696465500,1696472040.0,1696468980.0,1696468980.0,2023-10-05 13:14,2023-10-05 02:14,1696472040.0
30,AD,AZU,AD7801,AZU7801,7801,GRU,SBGR,3,,2023-10-04 20:45,2023-10-04 23:45,2023-10-04 22:23,2023-10-05 01:23,2023-10-04 22:23,2023-10-05 01:23,YYZ,CYYZ,1,,,2023-10-05 06:00,2023-10-05 10:00,2023-10-05 07:05,2023-10-05 11:05,AC,91,AC91,active,615.0,65,98.0,65.0,,1696500000.0,1696463100,1696503900.0,1696468980.0,1696468980.0,,,
31,OO,SKW,OO4990,SKW4990,4990,SBP,KSBP,,6,2023-10-04 16:24,2023-10-04 23:24,2023-10-04 18:23,2023-10-05 01:23,2023-10-04 18:23,2023-10-05 01:23,PHX,KPHX,4,B16,1,2023-10-04 18:09,2023-10-05 01:09,2023-10-04 20:07,2023-10-05 03:07,,,,landed,105.0,118,119.0,118.0,,1696468140.0,1696461840,1696475220.0,1696468980.0,1696468980.0,2023-10-04 20:07,2023-10-05 03:07,1696475220.0
32,EK,UAE,EK6627,UAE6627,6627,IAH,KIAH,E,1,2023-10-04 20:03,2023-10-05 01:03,2023-10-04 20:23,2023-10-05 01:23,2023-10-04 20:23,2023-10-05 01:23,GDL,MMGL,1,,,2023-10-04 21:21,2023-10-05 03:21,2023-10-04 21:57,2023-10-05 03:57,UA,332,UA332,active,138.0,36,20.0,36.0,,1696476060.0,1696467780,1696478220.0,1696468980.0,1696468980.0,,,
33,AC,ACA,AC91,ACA91,91,GRU,SBGR,3,,2023-10-04 20:45,2023-10-04 23:45,2023-10-04 22:23,2023-10-05 01:23,2023-10-04 22:23,2023-10-05 01:23,YYZ,CYYZ,1,,,2023-10-05 06:00,2023-10-05 10:00,2023-10-05 07:05,2023-10-05 11:05,,,,active,615.0,65,98.0,65.0,B789,1696500000.0,1696463100,1696503900.0,1696468980.0,1696468980.0,,,
34,MS,MSR,MS9010,MSR9010,9010,CAI,HECA,3,F03,2023-10-05 03:25,2023-10-05 00:25,2023-10-05 04:23,2023-10-05 01:23,2023-10-05 04:23,2023-10-05 01:23,MUC,EDDM,2,M3,,2023-10-05 06:20,2023-10-05 04:20,2023-10-05 07:15,2023-10-05 05:15,LH,587,LH587,active,235.0,55,58.0,55.0,,1696479600.0,1696465500,1696482900.0,1696468980.0,1696468980.0,,,
35,LH,DLH,LH587,DLH587,587,CAI,HECA,3,F03,2023-10-05 03:25,2023-10-05 00:25,2023-10-05 04:23,2023-10-05 01:23,2023-10-05 04:23,2023-10-05 01:23,MUC,EDDM,2,M3,,2023-10-05 06:20,2023-10-05 04:20,2023-10-05 07:15,2023-10-05 05:15,,,,active,235.0,55,58.0,55.0,A21N,1696479600.0,1696465500,1696482900.0,1696468980.0,1696468980.0,,,
36,UA,UAL,UA332,UAL332,332,IAH,KIAH,E,1,2023-10-04 20:03,2023-10-05 01:03,2023-10-04 20:23,2023-10-05 01:23,2023-10-04 20:23,2023-10-05 01:23,GDL,MMGL,1,,,2023-10-04 21:21,2023-10-05 03:21,2023-10-04 21:57,2023-10-05 03:57,,,,active,138.0,36,20.0,36.0,A319,1696476060.0,1696467780,1696478220.0,1696468980.0,1696468980.0,,,
37,NH,ANA,NH643,ANA643,643,HND,RJTT,2,502,2023-10-05 09:45,2023-10-05 00:45,2023-10-05 10:23,2023-10-05 01:23,2023-10-05 10:23,2023-10-05 01:23,KMJ,RJFT,,,,2023-10-05 11:30,2023-10-05 02:30,2023-10-05 12:13,2023-10-05 03:13,,,,active,105.0,43,38.0,43.0,A21N,1696473000.0,1696466700,1696475580.0,1696468980.0,1696468980.0,,,
38,,SSQ,,SSQ1436,1436,CBR,YSCB,,13,2023-10-05 11:25,2023-10-05 00:25,2023-10-05 12:23,2023-10-05 01:23,2023-10-05 12:23,2023-10-05 01:23,SYD,YSSY,3,16,QFR,2023-10-05 12:20,2023-10-05 01:20,2023-10-05 13:14,2023-10-05 02:14,,,,landed,55.0,54,58.0,54.0,,1696468800.0,1696465500,1696472040.0,1696468980.0,1696468980.0,2023-10-05 13:14,2023-10-05 02:14,1696472040.0
39,NZ,ANZ,NZ7078,ANZ7078,7078,CBR,YSCB,,13,2023-10-05 11:25,2023-10-05 00:25,2023-10-05 12:23,2023-10-05 01:23,2023-10-05 12:23,2023-10-05 01:23,SYD,YSSY,3,16,QFR,2023-10-05 12:20,2023-10-05 01:20,2023-10-05 13:14,2023-10-05 02:14,,1436,,landed,55.0,54,58.0,54.0,,1696468800.0,1696465500,1696472040.0,1696468980.0,1696468980.0,2023-10-05 13:14,2023-10-05 02:14,1696472040.0
40,EK,UAE,EK5277,UAE5277,5277,CBR,YSCB,,13,2023-10-05 11:25,2023-10-05 00:25,2023-10-05 12:23,2023-10-05 01:23,2023-10-05 12:23,2023-10-05 01:23,SYD,YSSY,3,16,QFR,2023-10-05 12:20,2023-10-05 01:20,2023-10-05 13:14,2023-10-05 02:14,,1436,,landed,55.0,54,58.0,54.0,,1696468800.0,1696465500,1696472040.0,1696468980.0,1696468980.0,2023-10-05 13:14,2023-10-05 02:14,1696472040.0
