,flight_number,airline_iata,dep_time_utc,dep_estimated_utc,arr_time_utc,arr_estimated_utc,dep_country_code,arr_country_code,domestic,international,delayed
71,7180,QR,2023-10-04 23:50,2023-10-05 01:40,2023-10-05 01:05,2023-10-05 03:12,AU,AU,True,False,110
72,6462,EY,2023-10-04 23:50,2023-10-05 01:40,2023-10-05 01:05,2023-10-05 03:12,AU,AU,True,False,110
73,848,JQ,2023-10-05 01:05,2023-10-05 01:42,2023-10-05 03:35,2023-10-05 04:20,AU,AU,True,False,37
74,7514,EK,2023-10-05 01:05,2023-10-05 01:42,2023-10-05 03:35,2023-10-05 04:20,AU,AU,True,False,37
75,1283,VA,2023-10-05 01:35,2023-10-05 02:10,2023-10-05 04:10,2023-10-05 05:05,AU,AU,True,False,35
76,6666,SQ,2023-10-05 01:35,2023-10-05 02:10,2023-10-05 04:10,2023-10-05 05:05,AU,AU,True,False,35
77,7184,QR,2023-10-05 01:35,2023-10-05 02:10,2023-10-05 04:10,2023-10-05 05:05,AU,AU,True,False,35
78,7427,UA,2023-10-05 01:35,2023-10-05 02:10,2023-10-05 04:10,2023-10-05 05:05,AU,AU,True,False,35
79,6459,EY,2023-10-05 01:35,2023-10-05 02:10,2023-10-05 04:10,2023-10-05 05:05,AU,AU,True,False,35
80,435,QF,2023-10-04 23:30,2023-10-05 01:44,2023-10-05 01:05,2023-10-05 03:32,AU,AU,True,False,134
81,4282,MU,2023-10-04 23:30,2023-10-05 01:44,2023-10-05 01:05,2023-10-05 03:32,AU,AU,True,False,134
82,1835,NZ,2023-10-04 23:30,2023-10-05 01:44,2023-10-05 01:05,2023-10-05 03:32,AU,AU,True,False,134
83,3415,UL,2023-10-04 23:30,2023-10-05 01:44,2023-10-05 01:05,2023-10-05 03:32,AU,AU,True,False,134
84,5435,EK,2023-10-04 23:30,2023-10-05 01:44,2023-10-05 01:05,2023-10-05 03:32,AU,AU,True,False,134
85,6482,EY,2023-10-05 01:00,2023-10-05 01:46,2023-10-05 02:35,2023-10-05 03:34,AU,AU,True,False,46
86,4146,HA,2023-10-05 01:00,2023-10-05 01:46,2023-10-05 02:35,2023-10-05 03:34,AU,AU,True,False,46
87,6804,SQ,2023-10-05 01:00,2023-10-05 01:46,2023-10-05 02:35,2023-10-05 03:34,AU,AU,True,False,46
88,6403,NH,2023-10-05 01:00,2023-10-05 01:46,2023-10-05 02:35,2023-10-05 03:34,AU,AU,True,False,46
89,2792,AC,2023-10-05 01:00,2023-10-05 01:46,2023-10-05 02:35,2023-10-05 03:34,AU,AU,True,False,46
90,4255,QR,2023-10-05 01:00,2023-10-05 01:46,2023-10-05 02:35,2023-10-05 03:34,AU,AU,True,False,46
91,838,VA,2023-10-05 01:00,2023-10-05 01:46,2023-10-05 02:35,2023-10-05 03:34,AU,AU,True,False,46
92,1837,NZ,2023-10-05 00:00,2023-10-05 01:51,2023-10-05 01:35,2023-10-05 04:03,AU,AU,True,False,111
93,5437,EK,2023-10-05 00:00,2023-10-05 01:51,2023-10-05 01:35,2023-10-05 04:03,AU,AU,True,False,111
94,7447,BA,2023-10-05 00:00,2023-10-05 01:51,2023-10-05 01:35,2023-10-05 04:03,AU,AU,True,False,111
95,437,QF,2023-10-05 00:00,2023-10-05 01:51,2023-10-05 01:35,2023-10-05 04:03,AU,AU,True,False,111
96,7358,AA,2023-10-05 00:00,2023-10-05 01:51,2023-10-05 01:35,2023-10-05 04:03,AU,AU,True,False,111
97,4283,MU,2023-10-05 00:00,2023-10-05 01:51,2023-10-05 01:35,2023-10-05 04:03,AU,AU,True,False,111
98,3403,UL,2023-10-05 00:00,2023-10-05 01:51,2023-10-05 01:35,2023-10-05 04:03,AU,AU,True,False,111
99,4876,LA,2023-10-05 00:00,2023-10-05 01:51,2023-10-05 01:35,2023-10-05 04:03,AU,AU,True,False,111
100,4285,MU,2023-10-05 02:00,2023-10-05 02:47,2023-10-05 03:35,2023-10-05 04:27,AU,AU,True,False,47
101,5445,EK,2023-10-05 02:00,2023-10-05 02:47,2023-10-05 03:35,2023-10-05 04:27,AU,AU,True,False,47
102,4858,LA,2023-10-05 02:00,2023-10-05 02:47,2023-10-05 03:35,2023-10-05 04:27,AU,AU,True,False,47
103,445,QF,2023-10-05 02:00,2023-10-05 02:47,2023-10-05 03:35,2023-10-05 04:27,AU,AU,True,False,47
104,9993,CI,2023-10-05 02:00,2023-10-05 02:47,2023-10-05 03:35,2023-10-05 04:27,AU,AU,True,False,47
105,1845,NZ,2023-10-05 02:00,2023-10-05 02:47,2023-10-05 03:35,2023-10-05 04:27,AU,AU,True,False,47
106,9981,CI,2023-10-05 01:00,2023-10-05 02:55,2023-10-05 02:35,2023-10-05 04:28,AU,AU,True,False,115
107,441,QF,2023-10-05 01:00,2023-10-05 02:55,2023-10-05 02:35,2023-10-05 04:28,AU,AU,True,False,115
108,1841,NZ,2023-10-05 01:00,2023-10-05 02:55,2023-10-05 02:35,2023-10-05 04:28,AU,AU,True,False,115
109,517,JQ,2023-10-05 02:15,2023-10-05 02:55,2023-10-05 03:50,2023-10-05 04:22,AU,AU,True,False,40
110,4856,LA,2023-10-05 01:00,2023-10-05 02:55,2023-10-05 02:35,2023-10-05 04:28,AU,AU,True,False,115
111,3398,UL,2023-10-05 01:00,2023-10-05 02:55,2023-10-05 02:35,2023-10-05 04:28,AU,AU,True,False,115
112,5441,EK,2023-10-05 01:00,2023-10-05 02:55,2023-10-05 02:35,2023-10-05 04:28,AU,AU,True,False,115
113,4284,MU,2023-10-05 01:30,2023-10-05 03:02,2023-10-05 03:05,2023-10-05 04:25,AU,AU,True,False,92
114,5443,EK,2023-10-05 01:30,2023-10-05 03:02,2023-10-05 03:05,2023-10-05 04:25,AU,AU,True,False,92
115,443,QF,2023-10-05 01:30,2023-10-05 03:02,2023-10-05 03:05,2023-10-05 04:25,AU,AU,True,False,92
116,1843,NZ,2023-10-05 01:30,2023-10-05 03:02,2023-10-05 03:05,2023-10-05 04:25,AU,AU,True,False,92
117,4857,LA,2023-10-05 01:30,2023-10-05 03:02,2023-10-05 03:05,2023-10-05 04:25,AU,AU,True,False,92
118,9989,CI,2023-10-05 01:30,2023-10-05 03:02,2023-10-05 03:05,2023-10-05 04:25,AU,AU,True,False,92
119,7451,BA,2023-10-05 01:30,2023-10-05 03:02,2023-10-05 03:05,2023-10-05 04:25,AU,AU,True,False,92
120,850,VA,2023-10-05 04:00,2023-10-05 05:25,2023-10-05 05:35,2023-10-05 07:00,AU,AU,True,False,85
121,2794,AC,2023-10-05 04:00,2023-10-05 05:25,2023-10-05 05:35,2023-10-05 07:00,AU,AU,True,False,85
122,6900,EY,2023-10-05 04:00,2023-10-05 05:25,2023-10-05 05:35,2023-10-05 07:00,AU,AU,True,False,85
123,6820,SQ,2023-10-05 04:00,2023-10-05 05:25,2023-10-05 05:35,2023-10-05 07:00,AU,AU,True,False,85
124,4152,HA,2023-10-05 04:00,2023-10-05 05:25,2023-10-05 05:35,2023-10-05 07:00,AU,AU,True,False,85
125,1859,NZ,2023-10-05 04:30,2023-10-05 05:35,2023-10-05 06:05,2023-10-05 07:10,AU,AU,True,False,65
126,459,QF,2023-10-05 04:30,2023-10-05 05:35,2023-10-05 06:05,2023-10-05 07:10,AU,AU,True,False,65
127,5459,EK,2023-10-05 04:30,2023-10-05 05:35,2023-10-05 06:05,2023-10-05 07:10,AU,AU,True,False,65
128,4288,MU,2023-10-05 04:00,2023-10-05 06:05,2023-10-05 05:35,2023-10-05 07:40,AU,AU,True,False,125
129,5455,EK,2023-10-05 04:00,2023-10-05 06:05,2023-10-05 05:35,2023-10-05 07:40,AU,AU,True,False,125
130,1855,NZ,2023-10-05 04:00,2023-10-05 06:05,2023-10-05 05:35,2023-10-05 07:40,AU,AU,True,False,125
131,455,QF,2023-10-05 04:00,2023-10-05 06:05,2023-10-05 05:35,2023-10-05 07:40,AU,AU,True,False,125
132,1821,NZ,2023-10-05 06:30,2023-10-05 07:20,2023-10-05 08:05,2023-10-05 08:55,AU,AU,True,False,50
133,5403,EK,2023-10-05 06:30,2023-10-05 07:20,2023-10-05 08:05,2023-10-05 08:55,AU,AU,True,False,50
134,6937,EY,2023-10-05 06:30,2023-10-05 07:20,2023-10-05 08:05,,AU,AU,True,False,50
135,870,VA,2023-10-05 06:30,2023-10-05 07:20,2023-10-05 08:05,,AU,AU,True,False,50
136,6838,SQ,2023-10-05 06:30,2023-10-05 07:20,2023-10-05 08:05,,AU,AU,True,False,50
137,4162,HA,2023-10-05 06:30,2023-10-05 07:20,2023-10-05 08:05,,AU,AU,True,False,50
138,475,QF,2023-10-05 06:30,2023-10-05 07:20,2023-10-05 08:05,2023-10-05 08:55,AU,AU,True,False,50
139,4252,QR,2023-10-05 06:30,2023-10-05 07:20,2023-10-05 08:05,,AU,AU,True,False,50
140,1877,NZ,2023-10-05 06:45,2023-10-05 07:35,2023-10-05 08:20,2023-10-05 09:10,AU,AU,True,False,50
141,477,QF,2023-10-05 06:45,2023-10-05 07:35,2023-10-05 08:20,2023-10-05 09:10,AU,AU,True,False,50
142,5305,EK,2023-10-05 06:45,2023-10-05 07:35,2023-10-05 08:20,2023-10-05 09:10,AU,AU,True,False,50
143,1861,NZ,2023-10-05 07:45,2023-10-05 08:55,2023-10-05 09:20,2023-10-05 10:30,AU,AU,True,False,70
144,485,QF,2023-10-05 07:45,2023-10-05 08:55,2023-10-05 09:20,2023-10-05 10:30,AU,AU,True,False,70
145,5429,EK,2023-10-05 07:45,2023-10-05 08:55,2023-10-05 09:20,2023-10-05 10:30,AU,AU,True,False,70
146,5928,LA,2023-10-05 07:45,2023-10-05 08:55,2023-10-05 09:20,2023-10-05 10:30,AU,AU,True,False,70
147,7067,NZ,2023-10-05 01:05,2023-10-05 02:53,2023-10-05 03:10,2023-10-05 04:55,AU,AU,True,False,108
148,4836,LA,2023-10-05 01:05,2023-10-05 02:53,2023-10-05 03:10,2023-10-05 04:55,AU,AU,True,False,108
149,7334,AA,2023-10-05 01:05,2023-10-05 02:53,2023-10-05 03:10,2023-10-05 04:55,AU,AU,True,False,108
150,737,QF,2023-10-05 01:05,2023-10-05 02:53,2023-10-05 03:10,2023-10-05 04:55,AU,AU,True,False,108
151,7435,CZ,2023-10-05 01:05,2023-10-05 02:53,2023-10-05 03:10,2023-10-05 04:55,AU,AU,True,False,108
152,4837,LA,2023-10-05 04:40,2023-10-05 05:55,2023-10-05 06:45,2023-10-05 08:00,AU,AU,True,False,75
153,739,QF,2023-10-05 04:40,2023-10-05 05:55,2023-10-05 06:45,2023-10-05 08:00,AU,AU,True,False,75
154,5739,EK,2023-10-05 04:40,2023-10-05 05:55,2023-10-05 06:45,2023-10-05 08:00,AU,AU,True,False,75
155,7436,BA,2023-10-05 04:40,2023-10-05 05:55,2023-10-05 06:45,2023-10-05 08:00,AU,AU,True,False,75
156,7573,CZ,2023-10-05 04:40,2023-10-05 05:55,2023-10-05 06:45,2023-10-05 08:00,AU,AU,True,False,75
157,7739,NZ,2023-10-05 04:40,2023-10-05 05:55,2023-10-05 06:45,2023-10-05 08:00,AU,AU,True,False,75
158,743,QF,2023-10-05 06:25,2023-10-05 07:35,2023-10-05 08:30,2023-10-05 09:40,AU,AU,True,False,70
159,7743,NZ,2023-10-05 06:25,2023-10-05 07:35,2023-10-05 08:30,2023-10-05 09:40,AU,AU,True,False,70
160,5286,FJ,2023-10-05 06:25,2023-10-05 07:35,2023-10-05 08:30,2023-10-05 09:40,AU,AU,True,False,70
161,5743,EK,2023-10-05 06:25,2023-10-05 07:35,2023-10-05 08:30,2023-10-05 09:40,AU,AU,True,False,70
162,1716,NZ,2023-10-04 23:35,2023-10-05 02:04,2023-10-05 01:05,2023-10-05 03:54,AU,AU,True,False,149
163,516,QF,2023-10-04 23:35,2023-10-05 02:04,2023-10-05 01:05,2023-10-05 03:54,AU,AU,True,False,149
164,5516,EK,2023-10-04 23:35,2023-10-05 02:04,2023-10-05 01:05,2023-10-05 03:54,AU,AU,True,False,149
165,4291,MU,2023-10-04 23:35,2023-10-05 02:04,2023-10-05 01:05,2023-10-05 03:54,AU,AU,True,False,149
166,5520,EK,2023-10-05 00:35,2023-10-05 03:04,2023-10-05 02:05,2023-10-05 04:20,AU,AU,True,False,149
167,1720,NZ,2023-10-05 00:35,2023-10-05 03:04,2023-10-05 02:05,2023-10-05 04:20,AU,AU,True,False,149
